Common name	Scientific name	Status	No.	No. Back
Sharp-shinned Hawk	Accipiter striatus		18	5
White-breasted Hawk	Accipiter chionogaster		8	0
Cooper's Hawk	Accipiter cooperii		79	12
Bicolored Hawk	Accipiter bicolor		40	0
Northern Goshawk	Accipiter gentilis		165	23
Western Marsh Harrier	Circus aeruginosus		112	20
Long-winged Harrier	Circus buffoni		14	0
Black Harrier	Circus maurus		2	0
Northern Harrier	Circus hudsonius		32	1
Cinereous Harrier	Circus cinereus		8	0
White-tailed Eagle	Haliaeetus albicilla		43	11
Bald Eagle	Haliaeetus leucocephalus		45	11
Steller's Sea Eagle	Haliaeetus pelagicus		15	1
Mississippi Kite	Ictinia mississippiensis		19	1
Plumbeous Kite	Ictinia plumbea		32	5
Black-collared Hawk	Busarellus nigricollis		46	5
Snail Kite	Rostrhamus sociabilis		78	11
Slender-billed Kite	Helicolestes hamatus		25	2
Crane Hawk	Geranospiza caerulescens		35	0
Plumbeous Hawk	Cryptoleucopteryx plumbea		26	1
Slate-colored Hawk	Buteogallus schistaceus		37	1
Common Black Hawk	Buteogallus anthracinus		47	4
Rufous Crab Hawk	Buteogallus aequinoctialis		8	1
Savanna Hawk	Buteogallus meridionalis		39	2
White-necked Hawk	Buteogallus lacernulatus		0	0
Great Black Hawk	Buteogallus urubitinga		72	4
Montane Solitary Eagle	Buteogallus solitarius		9	0
Crowned Solitary Eagle	Buteogallus coronatus		17	0
Barred Hawk	Morphnarchus princeps		35	5
Roadside Hawk	Rupornis magnirostris		396	256
Harris's Hawk	Parabuteo unicinctus		37	5
White-rumped Hawk	Parabuteo leucorrhous		53	0
White-tailed Hawk	Geranoaetus albicaudatus		39	2
Variable Hawk	Geranoaetus polyosoma		19	0
Black-chested Buzzard-Eagle	Geranoaetus melanoleucus		32	2
Mantled Hawk	Pseudastur polionotus		13	0
White Hawk	Pseudastur albicollis		16	0
Grey-backed Hawk	Pseudastur occidentalis		20	0
Semiplumbeous Hawk	Leucopternis semiplumbeus		16	2
Black-faced Hawk	Leucopternis melanops		27	2
White-browed Hawk	Leucopternis kuhli		24	17
Grey Hawk	Buteo plagiatus		76	41
Red-shouldered Hawk	Buteo lineatus		60	88
Ridgway's Hawk	Buteo ridgwayi		5	0
Broad-winged Hawk	Buteo platypterus		73	13
